LOCALIDAD,FECHA,ORIGEN,DESTINO,MEDIO,DURACIÓN,LINK,PRECIO,ESTADO,CHECK IN,CHECK OUT,OTROS
MADRID,"October 2, 2025",https://maps.app.goo.gl/cxkXirc9v7AiS6vW8,https://maps.app.goo.gl/TUENUxu3yRFEBVMNA (DE OVIEDO 4),METRO,50min,"https://moovitapp.com/tripplan/madrid-21/poi/Calle%20De%20Oviedo%204,%20Madrid/Aeropuerto%20De%20Barajas%20-%20T1,%20Madrid,%20Madrid/es?customerId=4908&ref=5&af_sub8=%2Findex%2Fes%2Ftransporte_p%25C3%25BAblico-Madrid-21%3Futm_source%3Dchatgpt.com&af_sub9=Search+bar+button&poiType=Metro&fll=40.463119_-3.57214&tll=40.448947_-3.699938&metroSeoName=Madrid&t=1",€5.00,,2pm,11am,
MADRID,"October 3, 2025",AIRBNB MADRID,TOLEDO,"METRO, TREN",1hs,https://maps.app.goo.gl/Py1Uko2YRtkYZjgM7,€15.00,,,,
"
TOLEDO","October 3, 2025",ESTACION DE TREN,AIRBNB TOLEDO (CALLE ARRINCONADA SAN JUSTO 1),"CAMINAR, TAXI",15m,,,,3pm,11 am,
TOLEDO,"October 4, 2025",ESTACIÓN DE TREN TOLEDO,BARCELON,TREN,3 30hs,https://maps.app.goo.gl/Fmej8L5juBmT2pWt8,€35.00,PENDIENTE,,,
BARCELONA,"October 4, 2025",ESTACIÓN DE TREN BARCELONA,"AIRBNB BARCELONA   (Carrer de Sants, 387, Sants-Montjuïc)",CAMINAR,10M,https://maps.app.goo.gl/HWv49TotANiebgfn9,,,16 PM,12 PM,
BARCELONA,"October 6, 2025",AIRBNB BARCELONA,PARIS,TREN,6 30 hs,https://www.sncf-connect.com/es-es/home/shop/results/outward,€80.00,"PAGADO, RESERVADO",,,
PARIS,"October 6, 2025",PARIS GARD DE LYON,"AIRBNB PARIS (18 Rue Clairaut,)",METRO,20m,https://maps.app.goo.gl/5uhnYbbmkNvTrGq49,,,5PM,12PM,
PARIS,"October 9, 2025","AIRBNB PARIS (18 Rue Clairaut,)",MONT SAINT MICHEL,,,,,PENDIENTE,,,
MONT SAINT MICHEL,"October 10, 2025",MONT SAINT MICHEL,BRUJAS,"BONDI, CAMINAR, TREN",7H,https://maps.app.goo.gl/QYVz66SRoGDNnwjW9    https://maps.app.goo.gl/MRKNd5NqARXKBHqC7,,PENDIENTE,3PM,10 AM,
BRUJAS,"October 10, 2025",BRUJAS,AIRBNB BRUJAS (Noorweegse kaai 8 bus 0201),"BONDI, CAMINAR",20/10M,6 - 4 -42,,,,,
BRUJAS,"October 11, 2025",AIRBNB BRUJAS (Noorweegse kaai 8 bus 0201),GENT,"BONDI, TREN",1H,https://maps.app.goo.gl/kiXfPG78HCXmvQ2XA,,PENDIENTE,,,
GENT,"October 11, 2025",GENT SINT PIERS,"AIRBNB GENT (Gent, Vlaams Gewest 9000)",TRANVÍA,20M,https://maps.app.goo.gl/4nBMdREvs4N18U1p7,,,3PM,11 AM,
GENT,"October 12, 2025","AIRBNB GENT (Gent, Vlaams Gewest 9000)",AMSTERDAM,"TRANVÍA, TREN",2 40 H,https://maps.app.goo.gl/gTTCVccPRvCdnD9x7,,,,,
AMSTERDAM,"October 12, 2025",AMSTERDAM,AIRBNB AMSTERDAM ( Zandpad 5),TRANVÍA,20m,https://maps.app.goo.gl/58JKUQLtm2GdFb526,,,,,
AMSTERDAM,"October 14, 2025",AMSTERDAM,LONDRES,TREN,5 h,https://maps.app.goo.gl/e1FDbktgmGmp24Fx8,€100.00,"PAGADO, RESERVADO",,,
LONDRES,"October 14, 2025",LONDRES,AIRBNB LONDRES ( 659 Lordship Lane),METRO,25m,https://maps.app.goo.gl/SYXzYSHE6XjfSnwQ8,,,4 PM,11 AM,
LONDRES,"October 18, 2025",LONDRES KING CROSS,EDIMBURGO,TREN,4 20 H,https://maps.app.goo.gl/eUAcVkzZVC3sn9w86,,PENDIENTE,,,
EDIMBURGO,"October 18, 2025","EDIMBURGO ","AIRBNB EDIMBURGO (Cramond, Scotland EH4 6PJ)",BONDI,30 m,47 -37,,,,,
EDIMBURGO,"June 21, 2025","AIRBNB EDIMBURGO (Cramond, Scotland EH4 6PJ)",AEROPUERTO EDIMBURGO,"BONDI, TRANVÍA"," 35 m",https://maps.app.goo.gl/fFBLtcwD5VjbxtuA8,,,,,
MADRID,"June 21, 2025",BARAJAS MADRID,AIRBNB MADRID https://maps.app.goo.gl/gdyDvGMAt7qj66nC8,AVIÓN,2 45 h,,,PENDIENTE,,,